age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,environment,organism_exchange,,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,EX_hxan(e),Hypoxanthine exchange,1.176499017005707,1.176499017005707,environment_exchange
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,shared_metabolite,organism_exchange,,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,EX_hxan(e),Hypoxanthine exchange,1.176499017005707,1.176499017005707,organism_uptake
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK10,adenylate kinase (dTTP),-1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,GK1,Guanylate Kinase (GMP:ATP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK9,adenylate kinase (dGTP),-1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK5,adenylate kinase (CTP),-1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK11,adenylate kinase (dUTP),1000.0,1000.0,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK8,adenylate kinase (dCTP),999.984519443767,999.984519443767,internal_processing
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),-999.984519443767,999.984519443767,internal_processing
